[2] Random dependent-load sweep (7 rounds)
  working-set KiB | median ns/load | min ns/load | max ns/load
                4 |           1.88 |        1.87 |        1.88
                8 |           1.87 |        1.87 |        1.88
               16 |           1.88 |        1.87 |        1.90
               32 |           1.96 |        1.93 |        1.97
               64 |           4.38 |        4.37 |        4.45
              128 |           4.38 |        4.38 |        4.40
              256 |           4.42 |        4.40 |        4.47
              512 |           9.04 |        9.01 |        9.08
             1024 |          14.16 |       14.12 |       14.52
             2048 |          16.28 |       16.21 |       17.59
             4096 |          17.57 |       17.09 |       17.66
             8192 |          17.66 |       17.59 |       17.92
            16384 |          21.70 |       21.57 |       22.48
            32768 |         100.22 |       94.77 |      120.12
            65536 |         242.26 |      236.60 |      246.25
           131072 |         296.99 |      288.35 |      299.64
           262144 |         306.41 |      288.88 |      310.47
