# host	dc02-pe-t137-n047
# kernel	5.15.152.bsk.15-amd64
# compiler	gcc 12.2.0
# flags	-std=c11 -O3 -march=native -mtune=native -DNDEBUG -flto -Wall -Wextra -Werror
# cpu	96
# cpu_topology	2 sockets; 64 cores/socket; SMT2; 256 logical CPUs; AMD EPYC 7Y83
# memory_node	3
# frequency_governor	performance
# file	/data27 local NVMe ext4
# repeats	7; small warm scan repeats=21
# source.mmap_pread_tradeoff_benchmark.c	bfc6a073f19bba3b0dc102f69c36de3ff50f566dbcf954b15759136ddf862889
# source.virtual_memory_benchmark_support.h	1a788082817c648a1d98ad15069768eca5e4db705523f4bd9d009bcc370074f1
# binary.mmap_pread_tradeoff_benchmark	713950d950f6f854ccb077081a3450a0c59422dd1343dccf93f701ef15282c54
case	metric	round_values
scan-cold-2g-pread-reuse	gib_per_s	3.268,3.406,3.399,3.360,3.310,3.388,3.350
scan-cold-2g-pread-reuse	elapsed_ms	611.935,587.124,588.403,595.231,604.206,590.306,596.983
scan-cold-2g-pread-reuse	logical_calls	2048,2048,2048,2048,2048,2048,2048
scan-cold-2g-pread-reuse	minor	1,0,0,0,0,0,0
scan-cold-2g-pread-reuse	major	0,0,0,0,0,0,0
scan-cold-2g-pread-reuse	read_bytes	2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648
scan-cold-2g-pread-reuse	checksum	4194298792,4194298792,4194298792,4194298792,4194298792,4194298792,4194298792
scan-cold-2g-pread-reuse	setup_us	286.561
scan-cold-2g-pread-reuse	warmup_us	0.000
scan-cold-2g-pread-reuse	perf_aperf	12473976517
scan-cold-2g-pread-reuse	perf_mperf	9403569271
scan-cold-2g-pread-reuse	perf_tsc	9402811401
scan-cold-2g-pread-reuse	perf_task_clock_ms	3852.43
scan-cold-2g-pread-reuse	perf_context_switches	12831
scan-cold-2g-pread-reuse	perf_page_faults	385
scan-cold-2g-pread-reuse	perf_minor_faults	385
scan-cold-2g-pread-reuse	perf_major_faults	0
scan-cold-2g-pread-reuse	perf_pread64	14340
scan-cold-2g-pread-reuse	perf_mmap	21
scan-cold-2g-pread-reuse	perf_munmap	3
scan-cold-2g-mmap-remap	gib_per_s	2.724,2.720,2.726,2.736,2.733,2.730,2.717
scan-cold-2g-mmap-remap	elapsed_ms	734.256,735.212,733.544,730.968,731.917,732.674,736.105
scan-cold-2g-mmap-remap	logical_calls	2,2,2,2,2,2,2
scan-cold-2g-mmap-remap	minor	32768,32768,32768,32768,32768,32768,32768
scan-cold-2g-mmap-remap	major	8193,8193,8193,8193,8193,8193,8193
scan-cold-2g-mmap-remap	read_bytes	2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648
scan-cold-2g-mmap-remap	checksum	4194298792,4194298792,4194298792,4194298792,4194298792,4194298792,4194298792
scan-cold-2g-mmap-remap	setup_us	0.101
scan-cold-2g-mmap-remap	warmup_us	0.000
scan-cold-2g-mmap-remap	perf_aperf	11458392103
scan-cold-2g-mmap-remap	perf_mperf	8638660026
scan-cold-2g-mmap-remap	perf_tsc	8638548425
scan-cold-2g-mmap-remap	perf_task_clock_ms	3549.35
scan-cold-2g-mmap-remap	perf_context_switches	49426
scan-cold-2g-mmap-remap	perf_page_faults	286858
scan-cold-2g-mmap-remap	perf_minor_faults	229507
scan-cold-2g-mmap-remap	perf_major_faults	57351
scan-cold-2g-mmap-remap	perf_pread64	4
scan-cold-2g-mmap-remap	perf_mmap	27
scan-cold-2g-mmap-remap	perf_munmap	9
scan-warm-2g-pread-reuse	gib_per_s	7.474,9.395,9.584,9.585,9.585,9.560,9.582
scan-warm-2g-pread-reuse	elapsed_ms	267.587,212.876,208.685,208.663,208.660,209.201,208.719
scan-warm-2g-pread-reuse	logical_calls	2048,2048,2048,2048,2048,2048,2048
scan-warm-2g-pread-reuse	minor	0,0,0,0,0,0,0
scan-warm-2g-pread-reuse	major	0,0,0,0,0,0,0
scan-warm-2g-pread-reuse	read_bytes	0,0,0,0,0,0,0
scan-warm-2g-pread-reuse	checksum	4194298792,4194298792,4194298792,4194298792,4194298792,4194298792,4194298792
scan-warm-2g-pread-reuse	setup_us	246.555
scan-warm-2g-pread-reuse	warmup_us	621887.943
scan-warm-2g-pread-reuse	perf_aperf	6736316279
scan-warm-2g-pread-reuse	perf_mperf	5078233912
scan-warm-2g-pread-reuse	perf_tsc	5078150415
scan-warm-2g-pread-reuse	perf_task_clock_ms	2077.68
scan-warm-2g-pread-reuse	perf_context_switches	1895
scan-warm-2g-pread-reuse	perf_page_faults	386
scan-warm-2g-pread-reuse	perf_minor_faults	386
scan-warm-2g-pread-reuse	perf_major_faults	0
scan-warm-2g-pread-reuse	perf_pread64	16388
scan-warm-2g-pread-reuse	perf_mmap	21
scan-warm-2g-pread-reuse	perf_munmap	3
scan-warm-2g-mmap-remap	gib_per_s	8.718,8.743,8.759,8.717,8.674,8.734,8.740
scan-warm-2g-mmap-remap	elapsed_ms	229.414,228.752,228.337,229.436,230.561,228.982,228.820
scan-warm-2g-mmap-remap	logical_calls	2,2,2,2,2,2,2
scan-warm-2g-mmap-remap	minor	32769,32769,32769,32769,32769,32769,32769
scan-warm-2g-mmap-remap	major	0,0,0,0,0,0,0
scan-warm-2g-mmap-remap	read_bytes	0,0,0,0,0,0,0
scan-warm-2g-mmap-remap	checksum	4194298792,4194298792,4194298792,4194298792,4194298792,4194298792,4194298792
scan-warm-2g-mmap-remap	setup_us	0.350
scan-warm-2g-mmap-remap	warmup_us	745068.278
scan-warm-2g-mmap-remap	perf_aperf	7047110373
scan-warm-2g-mmap-remap	perf_mperf	5312671963
scan-warm-2g-mmap-remap	perf_tsc	5312663745
scan-warm-2g-mmap-remap	perf_task_clock_ms	2174.78
scan-warm-2g-mmap-remap	perf_context_switches	6711
scan-warm-2g-mmap-remap	perf_page_faults	270473
scan-warm-2g-mmap-remap	perf_minor_faults	262280
scan-warm-2g-mmap-remap	perf_major_faults	8193
scan-warm-2g-mmap-remap	perf_pread64	4
scan-warm-2g-mmap-remap	perf_mmap	28
scan-warm-2g-mmap-remap	perf_munmap	10
scan-warm-2g-mmap-persistent	gib_per_s	19.729,19.968,19.931,19.845,20.005,19.980,19.954
scan-warm-2g-mmap-persistent	elapsed_ms	101.375,100.158,100.346,100.781,99.977,100.101,100.230
scan-warm-2g-mmap-persistent	logical_calls	0,0,0,0,0,0,0
scan-warm-2g-mmap-persistent	minor	1,0,0,0,0,0,0
scan-warm-2g-mmap-persistent	major	0,0,0,0,0,0,0
scan-warm-2g-mmap-persistent	read_bytes	0,0,0,0,0,0,0
scan-warm-2g-mmap-persistent	checksum	4194298792,4194298792,4194298792,4194298792,4194298792,4194298792,4194298792
scan-warm-2g-mmap-persistent	setup_us	7.724
scan-warm-2g-mmap-persistent	warmup_us	697785.031
scan-warm-2g-mmap-persistent	perf_aperf	4142369338
scan-warm-2g-mmap-persistent	perf_mperf	3122820948
scan-warm-2g-mmap-persistent	perf_tsc	3122767895
scan-warm-2g-mmap-persistent	perf_task_clock_ms	1279.84
scan-warm-2g-mmap-persistent	perf_context_switches	6865
scan-warm-2g-mmap-persistent	perf_page_faults	41088
scan-warm-2g-mmap-persistent	perf_minor_faults	32895
scan-warm-2g-mmap-persistent	perf_major_faults	8193
scan-warm-2g-mmap-persistent	perf_pread64	4
scan-warm-2g-mmap-persistent	perf_mmap	21
scan-warm-2g-mmap-persistent	perf_munmap	3
scan-warm-1m-pread-reuse	gib_per_s	8.198,11.311,11.383,12.026,11.932,12.273,12.310,12.520,12.488,12.468,12.274,12.716,12.979,13.126,13.165,13.166,10.195,13.094,13.083,13.256,13.156
