# host	dc02-pe-t137-n047
# kernel	5.15.152.bsk.15-amd64
# compiler	gcc 12.2.0
# flags	-std=c11 -O3 -march=native -mtune=native -DNDEBUG -flto -Wall -Wextra -Werror
# memory_policy	VM_BENCH_EXPECT_NODE=3; numactl --membind=3
# frequency_governor	performance
# repeats	7
# source.virtual_memory_demo.c	5d2910727cafa1d8760cd798dc210ad396c282449d6a2442407c4659741e2a72
# source.virtual_memory_benchmark.c	1a76bc1a7568db51150c341d0a3daa1ddb8da5213177e089d23c1739002c4cfd
# source.virtual_memory_mprotect_benchmark.c	0e8977f94206dfc1144b5bd1fb52a4431f528d47a23e8b0ee83b4ffe29849bcf
# source.virtual_memory_file_benchmark.c	ec9038e8ddeaa48214fe73b7612ad7729d2bcecc6631aded68161d49a5d2e9c8
# source.virtual_memory_benchmark_support.h	1a788082817c648a1d98ad15069768eca5e4db705523f4bd9d009bcc370074f1
# binary.virtual_memory_demo	91f1acb368d43c676ed3cc543b3d326d21cbd7cf10423b5ad4a6bba96a34177d
# binary.virtual_memory_benchmark	b334ab9497fdcf715949bcf889701932dc10ca0263b17732ba8a810d8265c5bc
# binary.virtual_memory_mprotect_benchmark	2ba90e5a2355062fc54e0559f32d8c2f7ccf08ccb06283e710cbb3ef37352303
# binary.virtual_memory_file_benchmark	e0fd9fc5a5a70ab36263f2222c13ef3e24c3327a23af07a49169b03378f0c493
case	metric	round_values
final6-fault	reserve_us	2.084,6.091,4.048,4.869,4.761,5.089,4.217
final6-fault	first_ms	201.350,193.284,193.123,194.207,192.902,193.459,193.581
final6-fault	second_ms	3.120,3.097,3.124,3.155,3.119,3.138,3.137
final6-fault	first_minor	262144,262144,262144,262144,262144,262144,262144
final6-fault	second_minor	0,0,0,0,0,0,0
final6-walk-seq-base	ns_per_access	10.734,10.749,10.724,10.630,10.715,10.708,10.728
final6-walk-random-base	ns_per_access	14.620,14.585,14.594,14.604,14.604,14.636,14.698
final6-walk-random-thp	ns_per_access	14.194,14.138,14.109,14.112,14.115,14.115,14.125
final6-walk-random-hugetlb	ns_per_access	14.201,14.157,14.150,14.213,14.128,14.143,14.137
final6-numa-local	gib_per_s	22.855,22.862,22.925,22.958,22.910,22.928,22.934
final6-numa-near	gib_per_s	20.709,20.606,20.209,19.435,20.025,20.275,20.378
final6-numa-remote	gib_per_s	12.939,13.105,12.747,12.754,13.130,13.106,13.056
final6-cow	baseline_ms	5.339,4.573,4.445,4.547,4.531,4.561,4.620
final6-cow	cow_ms	160.878,155.673,153.961,154.461,152.617,150.851,151.718
final6-cow	baseline_minor	17,17,17,17,17,17,17
final6-cow	cow_minor	131089,131089,131089,131089,131089,131089,131089
final6-mprotect-1	us_per_transition	165.598,165.640,165.831,165.460,165.603,165.373,165.043
final6-mprotect-1	tlb_flush	637,637,637,636,633,635,634
final6-mprotect-8	us_per_transition	433.629,433.788,437.922,442.964,437.310,435.839,435.018
final6-mprotect-8	tlb_flush	2115,2174,2107,2135,2161,2161,2132
final6-mprotect-32	us_per_transition	646.450,649.127,656.074,626.895,632.338,631.325,564.237
final6-mprotect-32	tlb_flush	5075,4079,5813,6683,6418,5203,5268
final6-mprotect-63	us_per_transition	596.467,592.234,583.110,587.625,695.236,628.609,601.099
final6-mprotect-63	tlb_flush	18778,13252,13412,20059,17122,20071,19535
final6-file-pread-cold	gib_per_s	3.562,3.611,3.625,3.612,3.617,3.599,3.595
final6-file-mmap-cold	gib_per_s	2.671,2.661,2.666,2.685,2.684,2.684,2.668
final6-file-pread-warm	gib_per_s	9.034,11.448,11.803,11.835,11.809,11.805,11.886
final6-file-mmap-warm	gib_per_s	11.336,11.386,11.363,11.374,11.399,11.425,11.398
final6-file-pread-cold	read_bytes	2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648
final6-file-mmap-cold	read_bytes	2147483648,2147483648,2147483648,2147483648,2147483648,2147483648,2147483648
final6-file-mmap-cold	major_faults	8193,8193,8193,8193,8193,8193,8193
