server_version,scenario,total_rows,ndv,query,execution_ms,index_rows,index_searches,heap_fetches,shared_hit_blocks,shared_read_blocks,node_types
17.10 (Debian 17.10-1.pgdg12+1),depth,1000,10,distinct,0.084,1000,NA,0,2,0,"Aggregate>Index Only Scan>Unique"
17.10 (Debian 17.10-1.pgdg12+1),depth,1000,10,loose-index-scan,0.076,11,NA,0,13,0,"Aggregate>CTE Scan>Index Only Scan>Limit>Recursive Union>Result>WorkTable Scan"
17.10 (Debian 17.10-1.pgdg12+1),depth,10000,10,distinct,0.620,10000,NA,0,11,0,"Aggregate>Index Only Scan>Unique"
17.10 (Debian 17.10-1.pgdg12+1),depth,10000,10,loose-index-scan,0.072,11,NA,0,25,0,"Aggregate>CTE Scan>Index Only Scan>Limit>Recursive Union>Result>WorkTable Scan"
17.10 (Debian 17.10-1.pgdg12+1),depth,100000,10,distinct,5.945,100000,NA,0,90,0,"Aggregate>Index Only Scan>Unique"
17.10 (Debian 17.10-1.pgdg12+1),depth,100000,10,loose-index-scan,0.087,11,NA,0,25,0,"Aggregate>CTE Scan>Index Only Scan>Limit>Recursive Union>Result>WorkTable Scan"
17.10 (Debian 17.10-1.pgdg12+1),depth,1000000,10,distinct,56.984,1000000,NA,0,872,0,"Aggregate>Index Only Scan>Unique"
17.10 (Debian 17.10-1.pgdg12+1),depth,1000000,10,loose-index-scan,0.102,11,NA,0,36,0,"Aggregate>CTE Scan>Index Only Scan>Limit>Recursive Union>Result>WorkTable Scan"
17.10 (Debian 17.10-1.pgdg12+1),depth,10000000,10,distinct,574.135,10000000,NA,0,8714,0,"Aggregate>Index Only Scan>Unique"
17.10 (Debian 17.10-1.pgdg12+1),depth,10000000,10,loose-index-scan,0.126,11,NA,0,36,0,"Aggregate>CTE Scan>Index Only Scan>Limit>Recursive Union>Result>WorkTable Scan"
17.10 (Debian 17.10-1.pgdg12+1),cardinality,1000000,100,distinct,58.423,1000000,NA,0,881,0,"Aggregate>Index Only Scan>Unique"
17.10 (Debian 17.10-1.pgdg12+1),cardinality,1000000,100,loose-index-scan,0.371,101,NA,0,316,0,"Aggregate>CTE Scan>Index Only Scan>Limit>Recursive Union>Result>WorkTable Scan"
17.10 (Debian 17.10-1.pgdg12+1),cardinality,1000000,1000,distinct,61.096,1000000,NA,0,892,0,"Aggregate>Index Only Scan>Unique"
17.10 (Debian 17.10-1.pgdg12+1),cardinality,1000000,1000,loose-index-scan,2.392,1001,NA,0,3116,0,"Aggregate>CTE Scan>Index Only Scan>Limit>Recursive Union>Result>WorkTable Scan"
17.10 (Debian 17.10-1.pgdg12+1),cardinality,1000000,10000,distinct,60.569,1000000,NA,0,912,0,"Aggregate>Index Only Scan>Unique"
17.10 (Debian 17.10-1.pgdg12+1),cardinality,1000000,10000,loose-index-scan,18.136,10001,NA,0,30913,0,"Aggregate>CTE Scan>Index Only Scan>Limit>Recursive Union>Result>WorkTable Scan"
17.10 (Debian 17.10-1.pgdg12+1),cardinality,1000000,100000,distinct,67.066,1000000,NA,0,1474,0,"Aggregate>Index Only Scan>Unique"
17.10 (Debian 17.10-1.pgdg12+1),cardinality,1000000,100000,loose-index-scan,259.928,100001,NA,0,301475,0,"Aggregate>CTE Scan>Index Only Scan>Limit>Recursive Union>Result>WorkTable Scan"
18.4 (Debian 18.4-1.pgdg12+1),depth,1000,10,distinct,0.097,1000,1,0,2,0,"Aggregate>Index Only Scan>Unique"
18.4 (Debian 18.4-1.pgdg12+1),depth,1000,10,loose-index-scan,0.059,10,11,0,13,0,"Aggregate>CTE Scan>Index Only Scan>Limit>Recursive Union>Result>WorkTable Scan"
18.4 (Debian 18.4-1.pgdg12+1),depth,10000,10,distinct,0.666,10000,1,0,11,0,"Aggregate>Index Only Scan>Unique"
18.4 (Debian 18.4-1.pgdg12+1),depth,10000,10,loose-index-scan,0.087,10,11,0,25,0,"Aggregate>CTE Scan>Index Only Scan>Limit>Recursive Union>Result>WorkTable Scan"
18.4 (Debian 18.4-1.pgdg12+1),depth,100000,10,distinct,6.137,100000,1,0,90,0,"Aggregate>Index Only Scan>Unique"
18.4 (Debian 18.4-1.pgdg12+1),depth,100000,10,loose-index-scan,0.084,10,11,0,25,0,"Aggregate>CTE Scan>Index Only Scan>Limit>Recursive Union>Result>WorkTable Scan"
18.4 (Debian 18.4-1.pgdg12+1),depth,1000000,10,distinct,59.613,1000000,1,0,872,0,"Aggregate>Index Only Scan>Unique"
18.4 (Debian 18.4-1.pgdg12+1),depth,1000000,10,loose-index-scan,0.095,10,11,0,36,0,"Aggregate>CTE Scan>Index Only Scan>Limit>Recursive Union>Result>WorkTable Scan"
18.4 (Debian 18.4-1.pgdg12+1),depth,10000000,10,distinct,614.915,10000000,1,0,8714,0,"Aggregate>Index Only Scan>Unique"
18.4 (Debian 18.4-1.pgdg12+1),depth,10000000,10,loose-index-scan,0.135,10,11,0,36,0,"Aggregate>CTE Scan>Index Only Scan>Limit>Recursive Union>Result>WorkTable Scan"
18.4 (Debian 18.4-1.pgdg12+1),cardinality,1000000,100,distinct,57.545,1000000,1,0,881,0,"Aggregate>Index Only Scan>Unique"
18.4 (Debian 18.4-1.pgdg12+1),cardinality,1000000,100,loose-index-scan,0.317,100,101,0,316,0,"Aggregate>CTE Scan>Index Only Scan>Limit>Recursive Union>Result>WorkTable Scan"
18.4 (Debian 18.4-1.pgdg12+1),cardinality,1000000,1000,distinct,63.397,1000000,1,0,892,0,"Aggregate>Index Only Scan>Unique"
18.4 (Debian 18.4-1.pgdg12+1),cardinality,1000000,1000,loose-index-scan,2.376,1001,1001,0,3116,0,"Aggregate>CTE Scan>Index Only Scan>Limit>Recursive Union>Result>WorkTable Scan"
18.4 (Debian 18.4-1.pgdg12+1),cardinality,1000000,10000,distinct,60.886,1000000,1,0,912,0,"Aggregate>Index Only Scan>Unique"
18.4 (Debian 18.4-1.pgdg12+1),cardinality,1000000,10000,loose-index-scan,17.959,10001,10001,0,30913,0,"Aggregate>CTE Scan>Index Only Scan>Limit>Recursive Union>Result>WorkTable Scan"
18.4 (Debian 18.4-1.pgdg12+1),cardinality,1000000,100000,distinct,64.530,1000000,1,0,1474,0,"Aggregate>Index Only Scan>Unique"
18.4 (Debian 18.4-1.pgdg12+1),cardinality,1000000,100000,loose-index-scan,248.625,100001,100001,0,301475,0,"Aggregate>CTE Scan>Index Only Scan>Limit>Recursive Union>Result>WorkTable Scan"
