mode,run,stream,sender_socket,sender_bytes,sender_bits_per_second,receiver_socket,receiver_bytes,receiver_bits_per_second
"direct","1",1,5,6911426560,18427601882.491596,5,7004749824,18439721782.732998
"direct","1",2,7,6911426560,18427601882.491596,7,7004749824,18439721782.732998
"direct","1",3,9,6911426560,18427601882.491596,9,7004749824,18439721782.732998
"direct","1",4,11,6911426560,18427601882.491596,11,7004749824,18439721782.732998
"coroutine","1",1,5,2293760000,6116950496.922563,5,2328952832,6115668861.244067
"coroutine","1",2,7,2293760000,6116950496.922563,7,2329935872,6118250256.2104025
"coroutine","1",3,9,2295070720,6120445897.206518,9,2329935872,6118250256.2104025
"coroutine","1",4,11,2293760000,6116950496.922563,11,2329935872,6118250256.2104025
"epoll","1",1,5,2245263360,5987442715.075203,5,2275409920,5988054760.699288
"epoll","1",2,7,2245263360,5987442715.075203,7,2275344384,5987882293.684291
"epoll","1",3,9,2243952640,5983947418.685784,9,2274557952,5985812689.504326
"epoll","1",4,11,2245263360,5987442715.075203,11,2275409920,5988054760.699288
"direct","2",1,5,6921912320,18458968303.58768,5,7012352000,18459540144.194603
"direct","2",2,7,6921912320,18458968303.58768,7,7012483072,18459885182.32814
"direct","2",3,9,6921912320,18458968303.58768,9,7012352000,18459540144.194603
"direct","2",4,11,6921912320,18458968303.58768,11,7012352000,18459540144.194603
"coroutine","2",1,5,2329149440,6211242878.417517,5,2371878912,6213228325.044531
"coroutine","2",2,7,2329149440,6211242878.417517,7,2372141056,6213915021.366927
"coroutine","2",3,9,2330460160,6214738231.753711,9,2371878912,6213228325.044531
"coroutine","2",4,11,2329149440,6211242878.417517,11,2371878912,6213228325.044531
"epoll","2",1,5,2346188800,6256566117.2940235,5,2378170368,6258620970.995796
"epoll","2",2,7,2347499520,6260061405.6277075,7,2379087872,6261035562.419791
"epoll","2",3,9,2347499520,6260061405.6277075,9,2380267520,6264140037.107785
"epoll","2",4,11,2347499520,6260061405.6277075,11,2379218944,6261380504.05179
"direct","3",1,5,7067402240,18847855933.767284,5,7159676928,18847833220.5846
"direct","3",2,7,7067402240,18847855933.767284,7,7159676928,18847833220.5846
"direct","3",3,9,7067402240,18847855933.767284,9,7159676928,18847833220.5846
"direct","3",4,11,7067402240,18847855933.767284,11,7159676928,18847833220.5846
"coroutine","3",1,5,2369781760,6319489845.260635,5,2405302272,6313991451.062755
"coroutine","3",2,7,2321285120,6190164002.188376,7,2358247424,6190471047.219284
"coroutine","3",3,9,2323906560,6197154588.300391,9,2360344576,6195976134.855762
"coroutine","3",4,11,2323906560,6197154588.300391,11,2360344576,6195976134.855762
"epoll","3",1,5,2343567360,6249898397.103601,5,2376073216,6253083268.415956
"epoll","3",2,7,2344878080,6253393866.005785,7,2375024640,6250323743.584352
"epoll","3",3,9,2344878080,6253393866.005785,9,2375352320,6251186095.094228
"epoll","3",4,11,2343567360,6249898397.103601,11,2377121792,6255842793.2475605
"direct","4",1,5,6994001920,18649496458.51595,5,7086014464,18652308720.836308
"direct","4",2,7,6994001920,18649496458.51595,7,7086014464,18652308720.836308
"direct","4",3,9,6994001920,18649496458.51595,9,7086014464,18652308720.836308
"direct","4",4,11,6994001920,18649496458.51595,11,7086014464,18652308720.836308
"coroutine","4",1,5,2350120960,6267049990.033587,5,2394947584,6267382043.92397
"coroutine","4",2,7,2348810240,6263554702.811036,7,2394947584,6267382043.92397
"coroutine","4",3,9,2348810240,6263554702.811036,9,2394947584,6267382043.92397
"coroutine","4",4,11,2348810240,6263554702.811036,11,2394357760,6265838522.733206
"epoll","4",1,5,2359296000,6291779016.583499,5,2390753280,6291135371.604019
"epoll","4",2,7,2359296000,6291779016.583499,7,2390753280,6291135371.604019
"epoll","4",3,9,2359296000,6291779016.583499,9,2390753280,6291135371.604019
"epoll","4",4,11,2359296000,6291779016.583499,11,2391474176,6293032369.66015
"direct","5",1,5,6945505280,18523168387.62732,5,7034241024,18517312596.530293
"direct","5",2,7,6945505280,18523168387.62732,7,7034372096,18517657637.479042
"direct","5",3,9,6945505280,18523168387.62732,9,7034372096,18517657637.479042
"direct","5",4,11,6945505280,18523168387.62732,11,7034372096,18517657637.479042
"coroutine","5",1,5,2346188800,6256611862.989086,5,2390032384,6258675183.453545
"coroutine","5",2,7,2346188800,6256611862.989086,7,2390753280,6260562962.855721
"coroutine","5",3,9,2344878080,6253116549.099149,9,2390753280,6260562962.855721
"coroutine","5",4,11,2346188800,6256611862.989086,11,2389704704,6257817101.907101
"epoll","5",1,5,2330460160,6214643401.107828,5,2359951360,6214093997.405147
"epoll","5",2,7,2330460160,6214643401.107828,7,2359296000,6212368339.533054
"epoll","5",3,9,2329149440,6211148101.107205,9,2359296000,6212368339.533054
"epoll","5",4,11,2329149440,6211148101.107205,11,2359296000,6212368339.533054
