run,position,mode,rco_yield_ns,function_call_ns,sched_yield_ns,sink
1,1,sysv,35.657,1.636,227.591,16132902951485109480
1,2,cacs,13.294,1.639,228.093,16132902951485109480
1,3,cacs-preserve-none,13.306,1.634,228.616,16132902951485109480
2,1,cacs,13.341,1.637,227.601,16132902951485109480
2,2,cacs-preserve-none,13.301,1.638,226.035,16132902951485109480
2,3,sysv,35.781,1.639,228.079,16132902951485109480
3,1,cacs-preserve-none,13.330,1.643,227.470,16132902951485109480
3,2,sysv,35.680,1.637,228.580,16132902951485109480
3,3,cacs,13.277,1.639,227.739,16132902951485109480
4,1,sysv,35.584,1.640,228.603,16132902951485109480
4,2,cacs,13.493,1.648,227.956,16132902951485109480
4,3,cacs-preserve-none,13.494,1.638,227.343,16132902951485109480
5,1,cacs,13.322,1.637,227.800,16132902951485109480
5,2,cacs-preserve-none,13.357,1.636,226.430,16132902951485109480
5,3,sysv,35.635,1.639,229.305,16132902951485109480
