schema,case,run,position,mode,backend_identity,binary_sha256,tasks,stack_bytes,touch_bytes,page_size,sentinels_per_task,yields_per_task,requested_yields,barrier_yields,measured_yields,checksum,expected_checksum,runtime_switches,expected_runtime_switches,wall_ns,user_us,system_us,minor_faults_delta,major_faults_delta,voluntary_context_switches_delta,involuntary_context_switches_delta,spawned,completed,peak_active,vm_peak_kb,vm_hwm_kb,vm_size_kb,vm_rss_kb,rss_anon_kb,rss_file_kb,rss_shmem_kb,setup_minor_faults,setup_major_faults,smaps_rss_kb,smaps_pss_kb,smaps_private_clean_kb,smaps_private_dirty_kb,smaps_anonymous_kb
rco-high-concurrency-v2,tasks-256,1,1,sysv,sysv,1aa82e4aa0b33dca8dcfeee78275cf420031c101eac95b315930d236935a7e0f,256,65536,4096,4096,1,64,16384,255,16639,2121600,2121600,34814,34814,1251620,1171,92,1,0,0,0,256,256,256,20864,4548,20864,4548,3204,1344,0,1058,0,4584,3266,20,3236,3240
rco-high-concurrency-v2,tasks-256,1,2,cacs,cacs,9b9763c07f3b42052a77e7018de9a611c57e11af7df398496b6dd4dfa19c23af,256,65536,4096,4096,1,64,16384,255,16639,2121600,2121600,34814,34814,379828,129,258,1,0,0,0,256,256,256,20864,4532,20864,4532,3208,1324,0,1061,0,4564,3266,20,3236,3240
rco-high-concurrency-v2,tasks-256,1,3,cacs-preserve-none,cacs-preserve-none,f9ff6390d0da0320f088eda34bfceaaaf3f70b97758d8e195bd4e423ce6258db,256,65536,4096,4096,1,64,16384,255,16639,2121600,2121600,34814,34814,398316,405,0,1,0,0,0,256,256,256,20864,4476,20864,4476,3208,1268,0,1057,0,4508,3265,20,3236,3240
rco-high-concurrency-v2,tasks-1024,1,1,cacs,cacs,9b9763c07f3b42052a77e7018de9a611c57e11af7df398496b6dd4dfa19c23af,1024,65536,4096,4096,1,64,65536,1023,66559,8486400,8486400,139262,139262,2579275,2585,0,1,0,0,0,1024,1024,1024,76292,13792,76292,13792,12444,1348,0,3409,0,13996,12674,20,12644,12648
rco-high-concurrency-v2,tasks-1024,1,2,cacs-preserve-none,cacs-preserve-none,f9ff6390d0da0320f088eda34bfceaaaf3f70b97758d8e195bd4e423ce6258db,1024,65536,4096,4096,1,64,65536,1023,66559,8486400,8486400,139262,139262,2646396,2243,410,1,0,0,0,1024,1024,1024,76292,13788,76292,13788,12444,1344,0,3410,0,13992,12674,20,12644,12648
rco-high-concurrency-v2,tasks-1024,1,3,sysv,sysv,1aa82e4aa0b33dca8dcfeee78275cf420031c101eac95b315930d236935a7e0f,1024,65536,4096,4096,1,64,65536,1023,66559,8486400,8486400,139262,139262,9258275,8542,733,1,0,0,0,1024,1024,1024,76292,13908,76292,13908,12440,1468,0,3412,0,14116,12675,20,12644,12648
rco-high-concurrency-v2,tasks-4096,1,1,cacs-preserve-none,cacs-preserve-none,f9ff6390d0da0320f088eda34bfceaaaf3f70b97758d8e195bd4e423ce6258db,4096,65536,4096,4096,1,64,262144,4095,266239,33945600,33945600,557054,557054,12848196,12778,0,1,0,0,2,4096,4096,4096,298268,51584,298268,51584,50196,1388,0,12818,0,51668,50306,20,50276,50280
rco-high-concurrency-v2,tasks-4096,1,2,sysv,sysv,1aa82e4aa0b33dca8dcfeee78275cf420031c101eac95b315930d236935a7e0f,4096,65536,4096,4096,1,64,262144,4095,266239,33945600,33945600,557054,557054,44903581,43504,1382,1,0,0,1,4096,4096,4096,298268,51496,298268,51496,50204,1292,0,12819,0,51576,50309,20,50280,50284
rco-high-concurrency-v2,tasks-4096,1,3,cacs,cacs,9b9763c07f3b42052a77e7018de9a611c57e11af7df398496b6dd4dfa19c23af,4096,65536,4096,4096,1,64,262144,4095,266239,33945600,33945600,557054,557054,12682515,12695,0,1,0,0,0,4096,4096,4096,298268,51584,298268,51584,50196,1388,0,12820,0,51668,50306,20,50276,50280
rco-high-concurrency-v2,tasks-16384,1,1,sysv,sysv,1aa82e4aa0b33dca8dcfeee78275cf420031c101eac95b315930d236935a7e0f,16384,65536,4096,4096,1,64,1048576,16383,1064959,135782400,135782400,2228222,2228222,317913131,313906,3993,1,0,0,1,16384,16384,16384,1186164,202028,1186164,202028,200672,1356,0,50453,0,202168,200838,20,200808,200812
rco-high-concurrency-v2,tasks-16384,1,2,cacs,cacs,9b9763c07f3b42052a77e7018de9a611c57e11af7df398496b6dd4dfa19c23af,16384,65536,4096,4096,1,64,1048576,16383,1064959,135782400,135782400,2228222,2228222,80677990,79901,759,1,0,0,1,16384,16384,16384,1186164,202056,1186164,202056,200676,1380,0,50454,0,202256,200839,20,200808,200812
rco-high-concurrency-v2,tasks-16384,1,3,cacs-preserve-none,cacs-preserve-none,f9ff6390d0da0320f088eda34bfceaaaf3f70b97758d8e195bd4e423ce6258db,16384,65536,4096,4096,1,64,1048576,16383,1064959,135782400,135782400,2228222,2228222,79775196,77459,2331,1,0,0,0,16384,16384,16384,1186164,201972,1186164,201972,200680,1292,0,50452,0,202104,200837,20,200808,200812
rco-high-concurrency-v2,working-set-32k,1,1,cacs,cacs,9b9763c07f3b42052a77e7018de9a611c57e11af7df398496b6dd4dfa19c23af,1024,98304,32768,4096,8,64,65536,1023,66559,67891200,67891200,139262,139262,5390071,5404,0,1,0,0,0,1024,1024,1024,109060,42560,109060,42560,41220,1340,0,10581,0,42660,41346,20,41316,41320
rco-high-concurrency-v2,working-set-32k,1,2,cacs-preserve-none,cacs-preserve-none,f9ff6390d0da0320f088eda34bfceaaaf3f70b97758d8e195bd4e423ce6258db,1024,98304,32768,4096,8,64,65536,1023,66559,67891200,67891200,139262,139262,5186776,5025,173,1,0,0,0,1024,1024,1024,109060,42512,109060,42512,41224,1288,0,10578,0,42608,41345,20,41316,41320
rco-high-concurrency-v2,working-set-32k,1,3,sysv,sysv,1aa82e4aa0b33dca8dcfeee78275cf420031c101eac95b315930d236935a7e0f,1024,98304,32768,4096,8,64,65536,1023,66559,67891200,67891200,139262,139262,15590876,15602,0,1,0,0,0,1024,1024,1024,109060,42564,109060,42564,41220,1344,0,10579,0,42664,41346,20,41316,41320
rco-high-concurrency-v2,working-set-128k,1,1,cacs-preserve-none,cacs-preserve-none,f9ff6390d0da0320f088eda34bfceaaaf3f70b97758d8e195bd4e423ce6258db,1024,196608,131072,4096,32,64,65536,1023,66559,271564800,271564800,139262,139262,28064321,28079,0,1,0,0,0,1024,1024,1024,207364,140816,207364,140816,139428,1388,0,35157,0,141012,139650,20,139620,139624
rco-high-concurrency-v2,working-set-128k,1,2,sysv,sysv,1aa82e4aa0b33dca8dcfeee78275cf420031c101eac95b315930d236935a7e0f,1024,196608,131072,4096,32,64,65536,1023,66559,271564800,271564800,139262,139262,44181205,44149,8,1,0,0,1,1024,1024,1024,207364,140892,207364,140892,139424,1468,0,35158,0,141092,139651,20,139620,139624
rco-high-concurrency-v2,working-set-128k,1,3,cacs,cacs,9b9763c07f3b42052a77e7018de9a611c57e11af7df398496b6dd4dfa19c23af,1024,196608,131072,4096,32,64,65536,1023,66559,271564800,271564800,139262,139262,28141100,28137,20,1,0,0,0,1024,1024,1024,207364,140732,207364,140732,139432,1300,0,35156,0,140924,139649,20,139620,139624
rco-high-concurrency-v2,working-set-256k,1,1,sysv,sysv,1aa82e4aa0b33dca8dcfeee78275cf420031c101eac95b315930d236935a7e0f,1024,327680,262144,4096,64,64,65536,1023,66559,543129600,543129600,139262,139262,97453390,96692,730,1,0,0,2,1024,1024,1024,338436,271964,338436,271964,270640,1324,0,67923,0,272020,270722,20,270692,270696
rco-high-concurrency-v2,working-set-256k,1,2,cacs,cacs,9b9763c07f3b42052a77e7018de9a611c57e11af7df398496b6dd4dfa19c23af,1024,327680,262144,4096,64,64,65536,1023,66559,543129600,543129600,139262,139262,81918468,81717,184,1,0,0,1,1024,1024,1024,338436,272024,338436,272024,270636,1388,0,67926,0,272084,270722,20,270692,270696
rco-high-concurrency-v2,working-set-256k,1,3,cacs-preserve-none,cacs-preserve-none,f9ff6390d0da0320f088eda34bfceaaaf3f70b97758d8e195bd4e423ce6258db,1024,327680,262144,4096,64,64,65536,1023,66559,543129600,543129600,139262,139262,81399714,80461,957,1,0,0,0,1024,1024,1024,338436,271908,338436,271908,270640,1268,0,67921,0,271964,270721,20,270692,270696
rco-high-concurrency-v2,yields-16,1,1,cacs,cacs,9b9763c07f3b42052a77e7018de9a611c57e11af7df398496b6dd4dfa19c23af,1024,65536,4096,4096,1,16,16384,1023,17407,2219520,2219520,40958,40958,748036,759,0,1,0,0,0,1024,1024,1024,76292,13912,76292,13912,12444,1468,0,3414,0,14120,12679,20,12648,12652
