schema,case,mode,backend_identity,binary_sha256,samples,tasks,stack_bytes,touch_bytes,yields_per_task,requested_yields,barrier_yields,measured_yields,checksum,runtime_switches,median_wall_ns,median_user_us,median_system_us,median_wall_ns_per_measured_yield,median_cpu_ns_per_measured_yield,paired_wall_ratio_vs_sysv,paired_cpu_ratio_vs_sysv,median_setup_minor_faults,median_setup_major_faults,median_minor_faults_delta,median_major_faults_delta,median_voluntary_context_switches_delta,median_involuntary_context_switches_delta,median_vm_hwm_kb,median_vm_rss_kb,median_smaps_rss_kb,median_smaps_pss_kb,median_smaps_anonymous_kb
rco-high-concurrency-v2,tasks-256,sysv,sysv,1aa82e4aa0b33dca8dcfeee78275cf420031c101eac95b315930d236935a7e0f,5,256,65536,4096,64,16384,255,16639,2121600,34814,1237541,1171,92,74.37592403389627,74.76410841997716,1.0,1.0,1063,0,1,0,0,0,4552,4552,4588,3266,3240
rco-high-concurrency-v2,tasks-256,cacs,cacs,9b9763c07f3b42052a77e7018de9a611c57e11af7df398496b6dd4dfa19c23af,5,256,65536,4096,64,16384,255,16639,2121600,34814,387698,129,249,23.30055892782018,23.61920788508925,0.3034691040411627,0.30641330166270786,1061,0,1,0,0,0,4532,4532,4564,3265,3240
rco-high-concurrency-v2,tasks-256,cacs-preserve-none,cacs-preserve-none,f9ff6390d0da0320f088eda34bfceaaaf3f70b97758d8e195bd4e423ce6258db,5,256,65536,4096,64,16384,255,16639,2121600,34814,398316,405,0,23.938698239076867,24.340405072420218,0.31824036049280136,0.32066508313539194,1062,0,1,0,0,0,4500,4500,4532,3265,3240
rco-high-concurrency-v2,tasks-1024,sysv,sysv,1aa82e4aa0b33dca8dcfeee78275cf420031c101eac95b315930d236935a7e0f,5,1024,65536,4096,64,65536,1023,66559,8486400,139262,9258275,8987,279,139.0987695127631,139.35005033128502,1.0,1.0,3415,0,1,0,0,0,13824,13824,14092,12674,12648
rco-high-concurrency-v2,tasks-1024,cacs,cacs,9b9763c07f3b42052a77e7018de9a611c57e11af7df398496b6dd4dfa19c23af,5,1024,65536,4096,64,65536,1023,66559,8486400,139262,2607730,2585,0,39.17922444748268,39.30347511230637,0.2790159204232993,0.27950438822922047,3415,0,1,0,0,0,13792,13792,13996,12674,12648
rco-high-concurrency-v2,tasks-1024,cacs-preserve-none,cacs-preserve-none,f9ff6390d0da0320f088eda34bfceaaaf3f70b97758d8e195bd4e423ce6258db,5,1024,65536,4096,64,65536,1023,66559,8486400,139262,2681420,2688,240,40.286362475397766,40.385222133746,0.2858411529145548,0.2860377358490566,3416,0,1,0,0,0,13824,13824,14092,12675,12648
rco-high-concurrency-v2,tasks-4096,sysv,sysv,1aa82e4aa0b33dca8dcfeee78275cf420031c101eac95b315930d236935a7e0f,5,4096,65536,4096,64,262144,4095,266239,33945600,557054,43939325,42972,0,165.03714707462092,164.84812518075864,1.0,1.0,12823,0,1,0,0,1,51544,51544,51628,50307,50280
rco-high-concurrency-v2,tasks-4096,cacs,cacs,9b9763c07f3b42052a77e7018de9a611c57e11af7df398496b6dd4dfa19c23af,5,4096,65536,4096,64,262144,4095,266239,33945600,557054,12216328,12231,0,45.884817776509074,45.939926156573605,0.2824388326623661,0.28282760771732834,12822,0,1,0,0,0,51540,51540,51624,50306,50280
rco-high-concurrency-v2,tasks-4096,cacs-preserve-none,cacs-preserve-none,f9ff6390d0da0320f088eda34bfceaaaf3f70b97758d8e195bd4e423ce6258db,5,4096,65536,4096,64,262144,4095,266239,33945600,557054,12848196,12778,0,48.258128974342604,47.99447113307968,0.2933183808010752,0.2937929428205427,12822,0,1,0,0,0,51584,51584,51668,50306,50280
rco-high-concurrency-v2,tasks-16384,sysv,sysv,1aa82e4aa0b33dca8dcfeee78275cf420031c101eac95b315930d236935a7e0f,5,16384,65536,4096,64,1048576,16383,1064959,135782400,2228222,309136405,307733,2238,290.28009998506985,290.1820633470397,1.0,1.0,50456,0,1,0,0,2,202028,202028,202168,200838,200812
rco-high-concurrency-v2,tasks-16384,cacs,cacs,9b9763c07f3b42052a77e7018de9a611c57e11af7df398496b6dd4dfa19c23af,5,16384,65536,4096,64,1048576,16383,1064959,135782400,2228222,81890148,79901,759,76.89511802801798,76.91751513438545,0.2646292479695624,0.2647590322287081,50455,0,1,0,0,0,202024,202024,202160,200838,200812
rco-high-concurrency-v2,tasks-16384,cacs-preserve-none,cacs-preserve-none,f9ff6390d0da0320f088eda34bfceaaaf3f70b97758d8e195bd4e423ce6258db,5,16384,65536,4096,64,1048576,16383,1064959,135782400,2228222,80956456,79934,1005,76.01837817230522,76.00198693095227,0.2601241029860567,0.2602640439943317,50457,0,1,0,0,1,202020,202020,202156,200838,200812
rco-high-concurrency-v2,working-set-32k,sysv,sysv,1aa82e4aa0b33dca8dcfeee78275cf420031c101eac95b315930d236935a7e0f,5,1024,98304,32768,64,65536,1023,66559,67891200,139262,15823136,15644,0,237.73097552547364,237.32327709250438,1.0,1.0,10582,0,1,0,0,0,42536,42536,42632,41346,41320
rco-high-concurrency-v2,working-set-32k,cacs,cacs,9b9763c07f3b42052a77e7018de9a611c57e11af7df398496b6dd4dfa19c23af,5,1024,98304,32768,64,65536,1023,66559,67891200,139262,5295703,5177,48,79.56404092609564,79.76381856698568,0.33314813266102333,0.3335164499786364,10583,0,1,0,0,0,42604,42604,42704,41343,41316
rco-high-concurrency-v2,working-set-32k,cacs-preserve-none,cacs-preserve-none,f9ff6390d0da0320f088eda34bfceaaaf3f70b97758d8e195bd4e423ce6258db,5,1024,98304,32768,64,65536,1023,66559,67891200,139262,5204088,5184,149,78.18759296263465,78.3515377334395,0.33268021630086725,0.3331624150749904,10583,0,1,0,0,0,42536,42536,42632,41346,41320
rco-high-concurrency-v2,working-set-128k,sysv,sysv,1aa82e4aa0b33dca8dcfeee78275cf420031c101eac95b315930d236935a7e0f,5,1024,196608,131072,64,65536,1023,66559,271564800,139262,44238699,44149,473,664.653901050196,664.8988115807028,1.0,1.0,35159,0,1,0,0,1,140804,140804,141012,139649,139624
rco-high-concurrency-v2,working-set-128k,cacs,cacs,9b9763c07f3b42052a77e7018de9a611c57e11af7df398496b6dd4dfa19c23af,5,1024,196608,131072,64,65536,1023,66559,271564800,139262,28282076,28137,27,424.91738157123757,425.15662795414596,0.6406732646487469,0.6413435169866056,35158,0,1,0,0,0,140740,140740,140932,139649,139624
rco-high-concurrency-v2,working-set-128k,cacs-preserve-none,cacs-preserve-none,f9ff6390d0da0320f088eda34bfceaaaf3f70b97758d8e195bd4e423ce6258db,5,1024,196608,131072,64,65536,1023,66559,271564800,139262,27975834,26887,1039,420.316320858186,420.52915458465424,0.6299871439905227,0.6300838248990996,35158,0,1,0,0,0,140776,140776,140972,139650,139624
rco-high-concurrency-v2,working-set-256k,sysv,sysv,1aa82e4aa0b33dca8dcfeee78275cf420031c101eac95b315930d236935a7e0f,5,1024,327680,262144,64,65536,1023,66559,543129600,139262,97453390,96692,509,1464.1654772457518,1463.6938655929325,1.0,1.0,67926,0,1,0,0,0,271956,271956,272012,270721,270696
rco-high-concurrency-v2,working-set-256k,cacs,cacs,9b9763c07f3b42052a77e7018de9a611c57e11af7df398496b6dd4dfa19c23af,5,1024,327680,262144,64,65536,1023,66559,543129600,139262,81918468,81717,102,1230.7647049985726,1230.5022611517602,0.8405912611146723,0.8406828026523783,67926,0,1,0,0,0,272024,272024,272084,270722,270696
