mode,run,stream,sender_socket,sender_bytes,sender_bits_per_second,receiver_socket,receiver_bytes,receiver_bits_per_second
"direct","1",1,5,7000555520,18668265259.346973,5,7091650560,18669202154.859333
"direct","1",2,7,7000555520,18668265259.346973,7,7091519488,18668857099.83383
"direct","1",3,9,7000555520,18668265259.346973,9,7091650560,18669202154.859333
"direct","1",4,11,7000555520,18668265259.346973,11,7091650560,18669202154.859333
"coroutine-sysv","1",1,5,2382888960,6354759938.858635,5,2422210560,6350675912.690204
"coroutine-sysv","1",2,7,2380267520,6347769003.832388,7,2422341632,6351019563.98418
"coroutine-sysv","1",3,9,2381578240,6351264471.345511,9,2422210560,6350675912.690204
"coroutine-sysv","1",4,11,2381578240,6351264471.345511,11,2422210560,6350675912.690204
"cacs","1",1,5,2347499520,6259910663.738661,5,2381316096,6256826418.222218
"cacs","1",2,7,2346188800,6256415459.571302,7,2380267520,6254071320.724101
"cacs","1",3,9,2413035520,6434670872.106574,9,2447376384,6430397560.603547
"cacs","1",4,11,2346188800,6256415459.571302,11,2380988416,6255965450.254056
"cacs-preserve-none","1",1,5,2323906560,6197150155.702812,5,2359296000,6197473705.197551
"cacs-preserve-none","1",2,7,2322595840,6193654865.14686,7,2359296000,6197473705.197551
"cacs-preserve-none","1",3,9,2323906560,6197150155.702812,9,2359296000,6197473705.197551
"cacs-preserve-none","1",4,11,2323906560,6197150155.702812,11,2358771712,6196096488.818619
"epoll","1",1,5,2373713920,6329990313.404984,5,2404450304,6327330174.708057
"epoll","1",2,7,2373713920,6329990313.404984,7,2404384768,6327157716.200747
"epoll","1",3,9,2375024640,6333485614.516749,9,2404384768,6327157716.200747
"epoll","1",4,11,2372403200,6326495012.2932205,11,2405433344,6329917052.317712
"coroutine-sysv","2",1,5,2394685440,6385896353.235067,5,2441084928,6387716176.096214
"coroutine-sysv","2",2,7,2394685440,6385896353.235067,7,2441084928,6387716176.096214
"coroutine-sysv","2",3,9,2393374720,6382401062.401332,9,2441084928,6387716176.096214
"coroutine-sysv","2",4,11,2394685440,6385896353.235067,11,2441281536,6388230650.659366
"cacs","2",1,5,2398617600,6396557100.936138,5,2433810432,6395728072.330206
"cacs","2",2,7,2398617600,6396557100.936138,7,2434793472,6398311369.879414
"cacs","2",3,9,2398617600,6396557100.936138,9,2434793472,6398311369.879414
"cacs","2",4,11,2397306880,6393061714.542184,11,2433744896,6395555852.493591
"cacs-preserve-none","2",1,5,2375024640,6333472527.519345,5,2419064832,6335642634.824266
"cacs-preserve-none","2",2,7,2375024640,6333472527.519345,7,2420113408,6338388903.846731
"cacs-preserve-none","2",3,9,2373713920,6329977233.629986,9,2419851264,6337702336.591115
"cacs-preserve-none","2",4,11,2376335360,6336967821.408705,11,2419064832,6335642634.824266
"epoll","2",1,5,2357985280,6288034206.691531,5,2388656128,6285705561.893402
"epoll","2",2,7,2357985280,6288034206.691531,7,2388656128,6285705561.893402
"epoll","2",3,9,2356674560,6284538912.524387,9,2387673088,6283118709.845871
"epoll","2",4,11,2356674560,6284538912.524387,11,2388656128,6285705561.893402
"direct","2",1,5,6776422400,18071002599.64144,5,6863454208,18068211863.59768
"direct","2",2,7,6776422400,18071002599.64144,7,6863585280,18068556913.858616
"direct","2",3,9,6776422400,18071002599.64144,9,6863454208,18068211863.59768
"direct","2",4,11,6776422400,18071002599.64144,11,6863454208,18068211863.59768
"cacs","3",1,5,2469396480,6584899237.12649,5,2516582400,6588884107.665368
"cacs","3",2,7,2405171200,6413635934.250057,7,2449473536,6413180531.460958
"cacs","3",3,9,2403860480,6410140764.803599,9,2449473536,6413180531.460958
"cacs","3",4,11,2403860480,6410140764.803599,11,2449080320,6412151018.319135
"cacs-preserve-none","3",1,5,2413035520,6434838607.315568,5,2453667840,6431841027.453857
"cacs-preserve-none","3",2,7,2411724800,6431343312.037287,7,2453667840,6431841027.453857
"cacs-preserve-none","3",3,9,2411724800,6431343312.037287,9,2453667840,6431841027.453857
"cacs-preserve-none","3",4,11,2411724800,6431343312.037287,11,2453798912,6432184608.705324
"epoll","3",1,5,2351431680,6270582653.203681,5,2383413248,6272280401.414508
"epoll","3",2,7,2350120960,6267087345.147269,7,2384461824,6275039873.654461
"epoll","3",3,9,2352742400,6274077961.260094,9,2385510400,6277799345.894415
"epoll","3",4,11,2351431680,6270582653.203681,11,2383478784,6272452868.429504
"direct","3",1,5,6813122560,18166757455.01775,5,6903562240,18170956005.421646
"direct","3",2,7,6813122560,18166757455.01775,7,6903562240,18170956005.421646
"direct","3",3,9,6813122560,18166757455.01775,9,6903693312,18171301001.738438
"direct","3",4,11,6813122560,18166757455.01775,11,6903693312,18171301001.738438
"coroutine-sysv","3",1,5,2342256640,6245897086.496072,5,2380267520,6250405449.750581
"coroutine-sysv","3",2,7,2342256640,6245897086.496072,7,2380267520,6250405449.750581
"coroutine-sysv","3",3,9,2343567360,6249392272.3307085,9,2380267520,6250405449.750581
"coroutine-sysv","3",4,11,2343567360,6249392272.3307085,11,2379218944,6247651967.173598
"cacs-preserve-none","4",1,5,2392064000,6378758757.912359,5,2425356288,6381385055.880693
"cacs-preserve-none","4",2,7,2393374720,6382253968.190668,7,2424307712,6378626134.542224
"cacs-preserve-none","4",3,9,2392064000,6378758757.912359,9,2424307712,6378626134.542224
"cacs-preserve-none","4",4,11,2393374720,6382253968.190668,11,2424307712,6378626134.542224
"epoll","4",1,5,2360606720,6295028797.344099,5,2390753280,6291154119.748844
"epoll","4",2,7,2357985280,6288038204.56526,7,2391146496,6292188849.044856
"epoll","4",3,9,2360606720,6295028797.344099,9,2391801856,6293913397.871541
"epoll","4",4,11,2359296000,6291533500.9546795,11,2391801856,6293913397.871541
"direct","4",1,5,6566707200,17509205689.881416,5,6652428288,17513590554.5349
"direct","4",2,7,6566707200,17509205689.881416,7,6652428288,17513590554.5349
"direct","4",3,9,6566707200,17509205689.881416,9,6652428288,17513590554.5349
"direct","4",4,11,6566707200,17509205689.881416,11,6652428288,17513590554.5349
"coroutine-sysv","4",1,5,2381578240,6350962120.07557,5,2426404864,6358740815.278388
"coroutine-sysv","4",2,7,2381578240,6350962120.07557,7,2426404864,6358740815.278388
"coroutine-sysv","4",3,9,2381578240,6350962120.07557,9,2426011648,6357710336.537796
"coroutine-sysv","4",4,11,2381578240,6350962120.07557,11,2426404864,6358740815.278388
"cacs","4",1,5,2388131840,6368449254.276033,5,2424307712,6367991298.535623
"cacs","4",2,7,2388131840,6368449254.276033,7,2424307712,6367991298.535623
"cacs","4",3,9,2388131840,6368449254.276033,9,2425356288,6370745620.031528
"cacs","4",4,11,2388131840,6368449254.276033,11,2425356288,6370745620.031528
"epoll","5",1,5,2279342080,6078314624.396153,5,2311585792,6083298538.351743
"epoll","5",2,7,2278031360,6074819331.340146,7,2308767744,6075882405.522611
"epoll","5",3,9,2276720640,6071324038.28414,9,2308505600,6075192532.701297
"epoll","5",4,11,2278031360,6074819331.340146,11,2308767744,6075882405.522611
"direct","5",1,5,6692536320,17843985437.512253,5,6782582784,17852649042.11691
"direct","5",2,7,6692536320,17843985437.512253,7,6782451712,17852304043.39153
"direct","5",3,9,6692536320,17843985437.512253,9,6782582784,17852649042.11691
"direct","5",4,11,6692536320,17843985437.512253,11,6782582784,17852649042.11691
"coroutine-sysv","5",1,5,2350120960,6266951872.722647,5,2382364672,6267427919.529808
"coroutine-sysv","5",2,7,2350120960,6266951872.722647,7,2382888960,6268807195.040268
"coroutine-sysv","5",3,9,2348810240,6263456640.222523,9,2382364672,6267427919.529808
"coroutine-sysv","5",4,11,2350120960,6266951872.722647,11,2382364672,6267427919.529808
"cacs","5",1,5,2415656960,6441796944.759517,5,2458910720,6439672131.130874
"cacs","5",2,7,2414346240,6438301666.981568,7,2459697152,6441731727.761299
"cacs","5",3,9,2414346240,6438301666.981568,9,2458910720,6439672131.130874
"cacs","5",4,11,2414346240,6438301666.981568,11,2458910720,6439672131.130874
"cacs-preserve-none","5",1,5,2411724800,6431628531.530893,5,2448424960,6431078400.150697
"cacs-preserve-none","5",2,7,2411724800,6431628531.530893,7,2448424960,6431078400.150697
"cacs-preserve-none","5",3,9,2410414080,6428133081.242018,9,2448424960,6431078400.150697
"cacs-preserve-none","5",4,11,2410414080,6428133081.242018,11,2447966208,6429873433.641033
