mode,run,backend_identity,binary_sha256,bits_per_second
direct,1,direct,not-applicable,73715767134.12346
coroutine-sysv,1,coroutine-sysv,49cef6f8ba39e3858c6114080a2b02a245018eefeed85ed92fdd5817d93f328a,25830566721.64092
cacs,1,cacs,2d6e134117beacc7dd8a3d3051ddb113a12afddfe6975a8770de85a21f8aa9be,25553764626.707985
cacs-preserve-none,1,cacs-preserve-none,edcc9de1c25d73e8890bcc11f3465fc5171dc52ef2ffb82f78ede9140519d34a,25190667144.51221
epoll,1,epoll,a88e4a727808b40460d7228beba86e9fbdb4aef47d27b4f5d0e564eb060ab63f,25458925526.476727
coroutine-sysv,2,coroutine-sysv,49cef6f8ba39e3858c6114080a2b02a245018eefeed85ed92fdd5817d93f328a,24627727223.42678
cacs,2,cacs,2d6e134117beacc7dd8a3d3051ddb113a12afddfe6975a8770de85a21f8aa9be,25056676607.69457
cacs-preserve-none,2,cacs-preserve-none,edcc9de1c25d73e8890bcc11f3465fc5171dc52ef2ffb82f78ede9140519d34a,24893841171.81222
epoll,2,epoll,a88e4a727808b40460d7228beba86e9fbdb4aef47d27b4f5d0e564eb060ab63f,24733780689.007328
direct,2,direct,not-applicable,73486407825.9671
cacs,3,cacs,2d6e134117beacc7dd8a3d3051ddb113a12afddfe6975a8770de85a21f8aa9be,25435856035.00347
cacs-preserve-none,3,cacs-preserve-none,edcc9de1c25d73e8890bcc11f3465fc5171dc52ef2ffb82f78ede9140519d34a,24876058012.425884
epoll,3,epoll,a88e4a727808b40460d7228beba86e9fbdb4aef47d27b4f5d0e564eb060ab63f,25082773154.479248
direct,3,direct,not-applicable,71984496241.1275
coroutine-sysv,3,coroutine-sysv,49cef6f8ba39e3858c6114080a2b02a245018eefeed85ed92fdd5817d93f328a,24987683244.71604
cacs-preserve-none,4,cacs-preserve-none,edcc9de1c25d73e8890bcc11f3465fc5171dc52ef2ffb82f78ede9140519d34a,25099037189.8293
epoll,4,epoll,a88e4a727808b40460d7228beba86e9fbdb4aef47d27b4f5d0e564eb060ab63f,25407285224.1148
direct,4,direct,not-applicable,74946645510.92758
coroutine-sysv,4,coroutine-sysv,49cef6f8ba39e3858c6114080a2b02a245018eefeed85ed92fdd5817d93f328a,25795898283.433723
cacs,4,cacs,2d6e134117beacc7dd8a3d3051ddb113a12afddfe6975a8770de85a21f8aa9be,25158767511.83971
epoll,5,epoll,a88e4a727808b40460d7228beba86e9fbdb4aef47d27b4f5d0e564eb060ab63f,25324384376.589073
direct,5,direct,not-applicable,74141390305.63469
coroutine-sysv,5,coroutine-sysv,49cef6f8ba39e3858c6114080a2b02a245018eefeed85ed92fdd5817d93f328a,25214681399.11885
cacs,5,cacs,2d6e134117beacc7dd8a3d3051ddb113a12afddfe6975a8770de85a21f8aa9be,25617069991.67845
cacs-preserve-none,5,cacs-preserve-none,edcc9de1c25d73e8890bcc11f3465fc5171dc52ef2ffb82f78ede9140519d34a,25802398933.01876
