mode,run,stream,sender_socket,sender_bytes,sender_bits_per_second,receiver_socket,receiver_bytes,receiver_bits_per_second
"direct","1",1,5,6982205440,18618742487.24434,5,7073169408,18619734248.73461
"direct","1",2,7,6982205440,18618742487.24434,7,7073300480,18620079288.65472
"direct","1",3,9,6982205440,18618742487.24434,9,7073300480,18620079288.65472
"direct","1",4,11,6982205440,18618742487.24434,11,7073300480,18620079288.65472
"direct","2",1,5,7075266560,18865333971.912876,5,7169114112,18872758021.94088
"direct","2",2,7,7075266560,18865333971.912876,7,7168983040,18872412973.710262
"direct","2",3,9,7075266560,18865333971.912876,9,7169114112,18872758021.94088
"direct","2",4,11,7075266560,18865333971.912876,11,7169114112,18872758021.94088
"direct","3",1,5,6982205440,18618934843.367313,5,7069106176,18606852745.51841
"direct","3",2,7,6982205440,18618934843.367313,7,7069106176,18606852745.51841
"direct","3",3,9,6982205440,18618934843.367313,9,7069106176,18606852745.51841
"direct","3",4,11,6982205440,18618934843.367313,11,7069106176,18606852745.51841
"direct","4",1,5,7232552960,19288486431.071022,5,7329808384,19296479006.36448
"direct","4",2,7,7232552960,19288486431.071022,7,7329939456,19296824066.96686
"direct","4",3,9,7232552960,19288486431.071022,9,7329939456,19296824066.96686
"direct","4",4,11,7232552960,19288486431.071022,11,7329939456,19296824066.96686
"direct","5",1,5,6920601600,18456432254.374695,5,7011172352,18458121822.857483
"direct","5",2,7,6920601600,18456432254.374695,7,7011303424,18458466892.52944
"direct","5",3,9,6920601600,18456432254.374695,9,7011303424,18458466892.52944
"direct","5",4,11,6920601600,18456432254.374695,11,7011303424,18458466892.52944
"proxy","1",1,5,2312110080,6165816025.802336,5,2353004544,6166453171.991474
"proxy","1",2,7,2312110080,6165816025.802336,7,2353004544,6166453171.991474
"proxy","1",3,9,2312110080,6165816025.802336,9,2354053120,6169201145.775784
"proxy","1",4,11,2310799360,6162320665.243491,11,2353201152,6166968417.076033
"proxy","2",1,5,2334392320,6225094175.092158,5,2375024640,6227281618.2811575
"proxy","2",2,7,2334076052,6224250787.25726,7,2375024640,6227281618.2811575
"proxy","2",3,9,2334392320,6225094175.092158,9,2375024640,6227281618.2811575
"proxy","2",4,11,2334392320,6225094175.092158,11,2374434816,6225735107.945492
"proxy","3",1,5,2299002880,6130905298.699994,5,2330984448,6129506214.230491
"proxy","3",2,7,2297692160,6127409913.695034,7,2330984448,6129506214.230491
"proxy","3",3,9,2299002880,6130905298.699994,9,2331443200,6130712538.552904
"proxy","3",4,11,2297692160,6127409913.695034,11,2332033024,6132263526.967436
"proxy","4",1,5,2312110080,6165655790.135556,5,2351693824,6169977152.968219
"proxy","4",2,7,2313420800,6169151059.857856,7,2350907392,6167913845.481996
"proxy","4",3,9,2312110080,6165655790.135556,9,2351955968,6170664922.130293
"proxy","4",4,11,2312110080,6165655790.135556,11,2351300608,6168945499.225107
"proxy","5",1,5,2322595840,6193962525.870007,5,2363490304,6194730731.580433
"proxy","5",2,7,2321285120,6190467061.690621,7,2364538880,6197479059.3229265
"proxy","5",3,9,2321285120,6190467061.690621,9,2363490304,6194730731.580433
"proxy","5",4,11,2321285120,6190467061.690621,11,2363949056,6195933124.967774
