query_id,class,x_hex,y_hex,site_a,site_b,expected_kind,expected_status,expected_region_id
0,random,0x1.46b04fe140000p+3,0x1.ee539ff700000p+2,,,,,
1,random,0x1.780d976e40000p+3,0x1.81c0c36900000p+2,,,,,
2,random,0x1.930f753500000p+1,0x1.f721211100000p+2,,,,,
3,random,0x1.5e4c2e8c00000p-1,0x1.c33dd30e00000p+1,,,,,
4,random,0x1.c4d6480d80000p+2,0x1.6454052000000p-3,,,,,
5,random,0x1.4104686240000p+3,0x1.4248a3fa00000p+1,,,,,
6,random,0x1.3fde43d480000p+2,0x1.60ce7ced00000p+2,,,,,
7,random,0x1.e031371a80000p+2,0x1.ec94f4a300000p+2,,,,,
8,random,0x1.1420221740000p+3,0x1.4e4826be00000p+1,,,,,
9,random,0x1.e5eab8f480000p+2,0x1.60a2014a00000p+1,,,,,
10,random,0x1.9a9be1fe00000p+0,0x1.931fa8e900000p+2,,,,,
11,random,0x1.51e5c6e500000p+1,0x1.7edcf1b700000p+2,,,,,
12,random,0x1.77b18c5d40000p+3,0x1.33ac6c4e00000p+1,,,,,
13,random,0x1.3988c94d80000p+2,0x1.7ccf560200000p+1,,,,,
14,random,0x1.20332ae1c0000p+3,0x1.fadf340900000p+2,,,,,
15,random,0x1.bfb9333280000p+2,0x1.e61d910300000p+2,,,,,
16,random,0x1.aabb38b100000p+1,0x1.ec9b10da00000p+1,,,,,
17,random,0x1.73267d9480000p+2,0x1.4b2b545300000p+2,,,,,
18,random,0x1.7b82ad2d80000p+2,0x1.5a97d58f00000p+2,,,,,
19,random,0x1.58da8e1fc0000p+3,0x1.2e561a0f00000p+2,,,,,
20,random,0x1.dcd62acd80000p+2,0x1.1baa670900000p+2,,,,,
21,random,0x1.1297583000000p-3,0x1.4bcdce6900000p+2,,,,,
22,random,0x1.5f95a94ec0000p+3,0x1.21cbf4ea00000p+1,,,,,
23,random,0x1.e572994f00000p+1,0x1.eb4b25ac00000p+0,,,,,
24,random,0x1.06cacb0e00000p+0,0x1.ecb3ed0b00000p+2,,,,,
25,random,0x1.62f7722600000p+0,0x1.d901b73500000p+2,,,,,
26,random,0x1.fca2d56800000p-2,0x1.a17e3d4c00000p+0,,,,,
27,random,0x1.b248dcac80000p+2,0x1.5a47887500000p+2,,,,,
28,random,0x1.31145a3800000p-2,0x1.eeca7dc400000p+0,,,,,
29,random,0x1.2da83b2a00000p+0,0x1.9c8b120f00000p+2,,,,,
30,random,0x1.5cd75ce000000p-4,0x1.3df46d4700000p+2,,,,,
31,random,0x1.12fa2ee940000p+3,0x1.adeddb9900000p+2,,,,,
32,random,0x1.480da47dc0000p+3,0x1.a91a729b00000p+2,,,,,
33,random,0x1.e0093a0380000p+2,0x1.f248b47b00000p+2,,,,,
34,random,0x1.1a1b9b5380000p+2,0x1.b230152800000p-1,,,,,
35,random,0x1.ca46a10d00000p+1,0x1.8dbea1ed00000p+2,,,,,
36,random,0x1.7dd84137c0000p+3,0x1.513e7bd200000p+1,,,,,
37,random,0x1.2779bc7e80000p+2,0x1.c2f360d600000p+1,,,,,
38,random,0x1.d412120600000p+0,0x1.18afbee200000p+1,,,,,
39,random,0x1.db06254300000p+1,0x1.146259be00000p+1,,,,,
40,random,0x1.0c7444e380000p+2,0x1.4a19a6cb00000p+2,,,,,
41,random,0x1.3aafcade80000p+2,0x1.2069982700000p+2,,,,,
42,random,0x1.d4cdacac00000p-1,0x1.af564ec200000p+1,,,,,
43,random,0x1.97bf890300000p+1,0x1.546c26df00000p+2,,,,,
44,random,0x1.eeb84eea00000p+0,0x1.dd84767300000p+2,,,,,
45,random,0x1.01716b7d40000p+3,0x1.149bfe2d00000p+2,,,,,
46,random,0x1.02bce821c0000p+3,0x1.621334d900000p+2,,,,,
47,random,0x1.413392f100000p+1,0x1.ab19d28800000p-1,,,,,
48,random,0x1.5375b51700000p+1,0x1.ef6e2e0800000p-1,,,,,
49,random,0x1.2a5c32f040000p+3,0x1.a3956d5c00000p+0,,,,,
50,random,0x1.0bb3533080000p+2,0x1.048e314e00000p+1,,,,,
51,random,0x1.21246e3240000p+3,0x1.aec9bf1200000p+1,,,,,
52,random,0x1.5df5983940000p+3,0x1.3ca593de00000p+1,,,,,
53,random,0x1.2369b3d000000p-3,0x1.596eb4eb00000p+2,,,,,
54,random,0x1.b8d759a080000p+2,0x1.482fc71200000p+1,,,,,
55,random,0x1.d3b0f94400000p-1,0x1.78dd9a6900000p+2,,,,,
56,random,0x1.223241a740000p+3,0x1.7ede235000000p-2,,,,,
57,random,0x1.1cd232a1c0000p+3,0x1.fe8c81c800000p-1,,,,,
58,random,0x1.d3dcc25380000p+2,0x1.283689a800000p-1,,,,,
59,random,0x1.34e1530200000p+0,0x1.7ff36c8a00000p+1,,,,,
60,random,0x1.c22c85a980000p+2,0x1.77e77a4c00000p+0,,,,,
61,random,0x1.3e96781e00000p+0,0x1.f27f602e00000p+1,,,,,
62,random,0x1.91785f8600000p+0,0x1.543351b100000p+2,,,,,
63,random,0x1.2516e2c680000p+2,0x1.dcfee9dd00000p+2,,,,,
64,random,0x1.cd20ab1400000p-1,0x1.c71ab5d800000p-1,,,,,
65,random,0x1.8474dd0580000p+2,0x1.483a764300000p+2,,,,,
66,random,0x1.4d3e141340000p+3,0x1.0a9f0d8c00000p+0,,,,,
67,random,0x1.71dda84840000p+3,0x1.98eae36000000p-3,,,,,
68,random,0x1.2e00e515c0000p+3,0x1.92fed84600000p+1,,,,,
69,random,0x1.b374551f80000p+2,0x1.3d14101800000p-1,,,,,
70,random,0x1.50628404c0000p+3,0x1.06e9fb1d00000p+2,,,,,
71,random,0x1.8f7d43c900000p+1,0x1.1566794700000p+2,,,,,
72,random,0x1.909288d580000p+2,0x1.78999b0600000p+1,,,,,
73,random,0x1.65c7dd4380000p+2,0x1.fa53dba800000p-1,,,,,
74,random,0x1.49ff154d80000p+2,0x1.662aa48100000p+2,,,,,
75,random,0x1.4257c3b600000p+0,0x1.35b1895b00000p+2,,,,,
76,random,0x1.56ae8fc7c0000p+3,0x1.0d70645b00000p+2,,,,,
77,random,0x1.4f27423880000p+2,0x1.be47ed5500000p+2,,,,,
78,random,0x1.76053ffd40000p+3,0x1.db8d422100000p+2,,,,,
79,random,0x1.44a3693680000p+2,0x1.e7b6e92e00000p+1,,,,,
80,random,0x1.4c8b542880000p+2,0x1.d9da66bb00000p+2,,,,,
81,random,0x1.5e8fb4e0c0000p+3,0x1.ab50ef0700000p+2,,,,,
82,random,0x1.206856db80000p+2,0x1.84207b7000000p-2,,,,,
83,random,0x1.84b1971900000p+1,0x1.42a6301800000p-1,,,,,
84,random,0x1.2e050f6740000p+3,0x1.e476051c00000p+0,,,,,
85,random,0x1.22ddd2fc80000p+2,0x1.e667eb7d00000p+2,,,,,
86,random,0x1.225203e280000p+2,0x1.ad2ba77c00000p+0,,,,,
87,random,0x1.c19e584600000p+0,0x1.285bd29b00000p+2,,,,,
88,random,0x1.555b9cd200000p+0,0x1.6eb3ddf100000p+2,,,,,
89,random,0x1.41275c0dc0000p+3,0x1.dfcd71ca00000p+1,,,,,
90,random,0x1.af36946780000p+2,0x1.9c1178e600000p+1,,,,,
91,random,0x1.1bb4741980000p+2,0x1.5ea2c62000000p-3,,,,,
92,random,0x1.1f66664180000p+2,0x1.a685eeda00000p+1,,,,,
93,random,0x1.c75031a180000p+2,0x1.c8a7e61b00000p+2,,,,,
94,random,0x1.6fe3f717c0000p+3,0x1.9659a5fa00000p+1,,,,,
95,random,0x1.626f2e5e40000p+3,0x1.a769d41f00000p+2,,,,,
96,random,0x1.40e02d4400000p-1,0x1.6fe5e91000000p-2,,,,,
97,random,0x1.60da95b680000p+2,0x1.ddc6f9b900000p+2,,,,,
98,random,0x1.4cb195be40000p+3,0x1.c3948aee00000p+1,,,,,
99,random,0x1.04b8f37e00000p+0,0x1.efb1520b00000p+2,,,,,
100,random,0x1.c5f9b86080000p+2,0x1.86a99ea200000p+1,,,,,
101,random,0x1.5222f6f180000p+2,0x1.5f2aab8f00000p+2,,,,,
102,random,0x1.95a80b8f80000p+2,0x1.59fc543300000p+2,,,,,
103,random,0x1.1cfbbb9dc0000p+3,0x1.afe28a3e00000p+1,,,,,
104,random,0x1.0856705e80000p+2,0x1.c3e50d1300000p+2,,,,,
105,random,0x1.37f63e6bc0000p+3,0x1.f2fd22f600000p+1,,,,,
106,random,0x1.e070a5da00000p+0,0x1.433bc39d00000p+2,,,,,
107,random,0x1.0c425a3b00000p+1,0x1.a45547f400000p+0,,,,,
108,random,0x1.ec605c1480000p+2,0x1.b2b886ca00000p+1,,,,,
109,random,0x1.023bb725c0000p+3,0x1.c42ed41400000p+0,,,,,
110,random,0x1.af1b658a80000p+2,0x1.3768fa4500000p+2,,,,,
111,random,0x1.0b2902ecc0000p+3,0x1.b03738dc00000p+0,,,,,
112,random,0x1.9cecea2e80000p+2,0x1.4a04748e00000p+1,,,,,
113,random,0x1.50795b6dc0000p+3,0x1.e7c26d7300000p+2,,,,,
114,random,0x1.88b4180880000p+2,0x1.386277df00000p+2,,,,,
115,random,0x1.417d8194c0000p+3,0x1.e435d6aa00000p+1,,,,,
116,random,0x1.484b33a580000p+2,0x1.9ac53b1900000p+2,,,,,
117,random,0x1.d912f82780000p+2,0x1.e755f59b00000p+2,,,,,
118,random,0x1.0513038780000p+2,0x1.2dd5299200000p+1,,,,,
119,random,0x1.14c4c0d940000p+3,0x1.31d4c29e00000p+1,,,,,
120,random,0x1.0eebc0e6c0000p+3,0x1.6f111bf000000p-2,,,,,
121,random,0x1.517a1a8200000p+0,0x1.519c465b00000p+2,,,,,
122,random,0x1.221115cc80000p+2,0x1.0c194b1000000p-2,,,,,
123,random,0x1.6d2dc38d40000p+3,0x1.141da8af00000p+2,,,,,
124,random,0x1.64f73c0b40000p+3,0x1.c82563e200000p+1,,,,,
125,random,0x1.5fd416d980000p+2,0x1.c1a75bb100000p+2,,,,,
126,random,0x1.c1b2276000000p-4,0x1.a143b6e200000p+1,,,,,
127,random,0x1.ec0a20f300000p+1,0x1.8f84866500000p+2,,,,,
128,random,0x1.10cfcab580000p+2,0x1.b269385600000p+1,,,,,
129,random,0x1.75ce518040000p+3,0x1.2cc0d77200000p+1,,,,,
130,random,0x1.1acaaf2200000p+0,0x1.3256d1c700000p+2,,,,,
131,random,0x1.cd5f036c80000p+2,0x1.bd0956bf00000p+2,,,,,
132,random,0x1.163a39eb80000p+2,0x1.eff613e000000p-3,,,,,
133,random,0x1.10941eff00000p+1,0x1.5b4fe83500000p+2,,,,,
134,random,0x1.1216574180000p+2,0x1.1152244400000p+0,,,,,
135,random,0x1.b0604a2b00000p+1,0x1.b600c8f500000p+2,,,,,
136,random,0x1.1f04e5b000000p-3,0x1.594eda8900000p+2,,,,,
137,random,0x1.304b196880000p+2,0x1.0776dcf500000p+2,,,,,
138,random,0x1.e175be8680000p+2,0x1.4f43f13200000p+1,,,,,
139,random,0x1.83fc6b6b80000p+2,0x1.2cad42d400000p+0,,,,,
140,random,0x1.de8d63da00000p+0,0x1.9d782f9700000p+2,,,,,
