ordinal,region_id,x_hex,y_hex
0,0,0x1.5af1013b0deefp-13,0x1.a9da63214eb2bp-2
1,1,0x1.3366eac9a8b33p-6,0x1.95e3125ab1564p-3
2,2,0x1.850ca18483de2p-5,0x1.ffad933d0bcd0p-2
3,3,0x1.ca46fa288e750p-4,0x1.1ad9195f7a3ddp-3
4,4,0x1.3f68458290ffdp-3,0x1.58e4a6e10d872p-2
5,5,0x1.d271e3247136dp-3,0x1.0acdd3bce6003p-2
6,6,0x1.23374713522b9p-2,0x1.55260ecc82244p-3
7,7,0x1.b2462cd1b3656p-2,0x1.b2cd602dadbe2p-3
8,8,0x1.06c076f36b2d9p-1,0x1.a4b634abc1b35p-3
9,9,0x1.47379446053fap-1,0x1.61689e5b04cc7p-2
10,10,0x1.8a74d729769bap-1,0x1.09063843f867fp-2
11,11,0x1.05fd51baa7c9bp+0,0x1.c2bd580636a97p-4
12,12,0x1.233e7484b8e70p+0,0x1.1a99ca8918288p-1
13,13,0x1.6e1ef7cd5a136p+0,0x1.64090307bbce7p-3
14,14,0x1.963c593967733p+0,0x1.5c726b1af0b07p-2
15,15,0x1.c112092f3b8c3p+0,0x1.0650d3d442751p-3
16,16,0x1.016c329782693p+1,0x1.f707ef0ba5ed9p-3
17,17,0x1.27bd39499a340p+1,0x1.1e718446c6f69p-1
18,18,0x1.41d8944fbb7fbp+1,0x1.1264eaa954eb5p-2
19,19,0x1.65d0aa715a407p+1,0x1.59baf78c74ed8p-2
20,20,0x1.a30e616777f24p+1,0x1.08ddf04fab3f1p-4
21,21,0x1.c13cb563b4b89p+1,0x1.b53633e21a7a4p-2
22,22,0x1.d9e242e330c35p+1,0x1.03ca060577dcbp-1
23,23,0x1.01dd2430c83a6p+2,0x1.c2fadce00d25ep-2
24,24,0x1.27fa7e47753a0p+2,0x1.d751cb9213b8cp-2
25,25,0x1.31ed781edec14p+2,0x1.7a42730ec9717p-3
26,26,0x1.4fec9d02dd6dbp+2,0x1.13378dfc1a1dbp-3
27,27,0x1.63223e2bb6347p+2,0x1.0ad1d7c09d5d8p-2
28,28,0x1.82982adb2c5bep+2,0x1.37caa3a857296p-2
29,29,0x1.9bcdec08594c7p+2,0x1.01d7a66866a7bp-1
30,30,0x1.c412cf1257126p+2,0x1.fd7adc67425bdp-2
31,31,0x1.d6e74c9d52359p+2,0x1.c757e0ffe9658p-3
32,32,0x1.02a9fa7158a03p+3,0x1.754e0e6623feep-3
33,33,0x1.12f2e74ab1a76p+3,0x1.383dd86b3950dp-2
34,34,0x1.1d83437357e99p+3,0x1.ce35cf6225a33p-3
35,35,0x1.332c0ba66f450p+3,0x1.aa24e3da718aep-4
36,36,0x1.463a49e741e21p+3,0x1.0e838b47de362p-1
37,37,0x1.57609fb09ead3p+3,0x1.7436ec7053312p-2
38,38,0x1.670ceda213287p+3,0x1.03626981e3891p-2
39,39,0x1.70fda5541cbefp+3,0x1.1bd3633c2407cp-1
40,40,0x1.b312d0b088d5dp-11,0x1.2b6d0fafa210ep+0
41,41,0x1.ec578f793aa5dp-7,0x1.ec564fbcfb78ap-1
